ID,NamaProvinsi,Wilayah,NamaKomoditi,Tahun,Volume,Nilai,ProvinsiID,KomoditiID
1,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2001,151217.723,77465.283,0,6
2,Nasional,Nasional,ikan segar/beku,2001,22630.403,19750.078,0,7
3,Nasional,Nasional,lainnya - others,2001,51659.411,42514.983,0,5
4,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2002,87940.987,53153.459,0,6
5,Nasional,Nasional,ikan segar/beku,2002,28219.84,19501.436,0,7
6,Nasional,Nasional,lainnya - others,2002,44778.506,43023.912,0,5
7,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2003,74533.264,50765.747,0,6
8,Nasional,Nasional,ikan segar/beku,2003,26227.741,22575.991,0,7
9,Nasional,Nasional,lainnya - others,2003,46572.232,43167.986,0,5
10,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2004,69259.213,44655.874,0,6
11,Nasional,Nasional,ikan segar/beku,2004,22627.88,18618.208,0,7
12,Nasional,Nasional,lainnya - others,2004,22933.617,69217.732,0,5
13,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2005,82787.577,54952.653,0,6
14,Nasional,Nasional,ikan segar/beku,2005,18958.483,16760.056,0,7
15,Nasional,Nasional,lainnya - others,2005,49261.828,55247.226,0,5
16,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2006,88851.654,76527.219,0,6
17,Nasional,Nasional,ikan segar/beku,2006,36392.704,23615.906,0,7
18,Nasional,Nasional,lainnya - others,2006,58995.621,65577.221,0,5
19,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2007,55684.977,49922.974,0,6
20,Nasional,Nasional,ikan segar/beku,2007,42891.319,27576.124,0,7
21,Nasional,Nasional,lainnya - others,2007,46651.027,65250.49,0,5
22,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2008,68274.003,44381.329,0,6
23,Nasional,Nasional,ikan segar/beku,2008,86555.857,70390.262,0,7
24,Nasional,Nasional,lainnya - others,2008,125349.482,152885.039,0,5
25,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2009,65600.631,39944.328,0,6
26,Nasional,Nasional,ikan segar/beku,2009,130013.975,102628.698,0,7
27,Nasional,Nasional,lainnya - others,2009,136278.216,157687.865,0,5
28,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2010,55067.819,36047.235,0,6
29,Nasional,Nasional,ikan segar/beku,2010,176766.842,149631.697,0,7
30,Nasional,Nasional,lainnya - others,2010,137447.593,206135.777,0,5
31,Nasional,Nasional,tepung ikan yang tidak baik dimakan manusia,2011,63464.686,44384.799,0,6
32,Nasional,Nasional,ikan segar/beku,2011,213565.839,178791.509,0,7
33,Nasional,Nasional,lainnya - others,2011,154840.07,265174.99,0,5
34,Aceh,Sumatera,semua komoditi - all commodities,2001,0.25,0.954,11,0
35,Sumatera Utara,Sumatera,semua komoditi - all commodities,2001,32695.982,12981.192,12,0
36,Sumatera Barat,Sumatera,semua komoditi - all commodities,2001,0,0,13,0
37,Riau,Sumatera,semua komoditi - all commodities,2001,294.995,117.215,14,0
38,Jambi,Sumatera,semua komoditi - all commodities,2001,0,0,15,0
39,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2001,0.629,0.111,16,0
40,Bengkulu,Sumatera,semua komoditi - all commodities,2001,0,0,17,0
41,Lampung,Sumatera,semua komoditi - all commodities,2001,0,0,18,0
42,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2001,123031.118,87408.974,19,0
43,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2001,0,0,21,0
44,DKI Jakarta,Jawa,semua komoditi - all commodities,2001,82575.636,54470.78,31,0
45,Jawa Barat,Jawa,semua komoditi - all commodities,2001,12.328,5.736,32,0
46,Jawa Tengah,Jawa,semua komoditi - all commodities,2001,1057.242,299.012,33,0
47,DI Yogyakarta,Jawa,semua komoditi - all commodities,2001,0,0,34,0
48,Jawa Timur,Jawa,semua komoditi - all commodities,2001,0,0,35,0
49,Banten,Jawa,semua komoditi - all commodities,2001,1019.238,404.294,36,0
50,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2001,1019.188,404.188,51,0
51,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2001,0.05,0.106,52,0
52,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2001,0,0,53,0
53,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2001,1755.733,673.211,61,0
54,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2001,0.035,0.083,62,0
55,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2001,0,0,63,0
56,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2001,7.31,4.375,64,0
57,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2001,0.103,5.547,71,0
58,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2001,41.74,0,74,0
59,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2001,41.74,21.427,73,0
61,Gorontalo,Sulawesi,semua komoditi - all commodities,2001,41.276,67.012,75,0
62,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2001,0,0,76,0
63,Maluku,Maluku - Papua,semua komoditi - all commodities,2001,0,0,81,0
64,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2001,0,0,82,0
65,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2001,0,0,91,0
66,Papua,Maluku - Papua,semua komoditi - all commodities,2001,41.276,67.012,94,0
67,Aceh,Sumatera,semua komoditi - all commodities,2002,0,0,11,0
68,Sumatera Utara,Sumatera,semua komoditi - all commodities,2002,18397.579,10312.972,12,0
69,Sumatera Barat,Sumatera,semua komoditi - all commodities,2002,0,0,13,0
70,Riau,Sumatera,semua komoditi - all commodities,2002,844.846,218.207,14,0
71,Jambi,Sumatera,semua komoditi - all commodities,2002,0,0,15,0
72,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2002,23.327,62.435,16,0
73,Bengkulu,Sumatera,semua komoditi - all commodities,2002,0,0,17,0
74,Lampung,Sumatera,semua komoditi - all commodities,2002,0,0,18,0
75,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2002,91990.873,73737.529,19,0
76,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2002,0,0,21,0
77,DKI Jakarta,Jawa,semua komoditi - all commodities,2002,65894.068,47453.967,31,0
