ID,Negara,Benua,NamaKomoditi,Tahun,Volume,Nilai,NegaraID,KomoditiID
1,Jepang,Asia,lainnya - others,2001,25729.632,81261.562,1,5
2,Hongkong,Asia,lainnya - others,2001,17645.129,27797.834,2,5
3,Korea Selatan,Asia,lainnya - others,2001,11093.979,13430.215,3,5
4,Taiwan,Asia,lainnya - others,2001,7581.382,12443.016,4,5
5,Cina,Asia,lainnya - others,2001,16749.85,9386.741,5,5
6,Thailand,Asia,lainnya - others,2001,12646.489,11552.128,6,5
7,Singapura,Asia,lainnya - others,2001,44829.894,44535.079,7,5
8,Filipina,Asia,lainnya - others,2001,1519.627,2685.552,8,5
9,Malaysia,Asia,lainnya - others,2001,43966.442,26737.212,9,5
10,Arab Saudi,Asia,lainnya - others,2001,2894.915,5469.377,10,5
11,Yordania,Asia,lainnya - others,2001,79.197,74.085,11,5
12,Mesir,Afrika,lainnya - others,2001,22.334,47.831,12,5
13,Australia,Australia,lainnya - others,2001,3830.236,6687.056,13,5
14,Amerika Serikat,Amerika,lainnya - others,2001,21695.881,130271.391,14,5
15,Kanada,Amerika,lainnya - others,2001,1345.995,2919.961,15,5
16,UK,Eropa,lainnya - others,2001,1899.833,6264.624,16,5
17,Belanda,Eropa,lainnya - others,2001,4162.241,9345.65,17,5
18,Perancis,Eropa,lainnya - others,2001,4129.368,11584.295,18,5
19,Jerman,Eropa,lainnya - others,2001,743.953,3674.884,19,5
20,Belgia dan Luksemburg,Eropa,lainnya - others,2001,2209.943,6952.502,20,5
21,Swedia,Eropa,lainnya - others,2001,28.429,81,21,5
22,Denmark,Eropa,lainnya - others,2001,34.562,183.545,22,5
23,Irlandia,Eropa,lainnya - others,2001,24,58,23,5
24,Italia,Eropa,lainnya - others,2001,974.647,1489.268,24,5
25,Spanyol,Eropa,lainnya - others,2001,1398.554,2862.218,25,5
26,Yunani,Eropa,lainnya - others,2001,12.715,62.568,26,5
27,Bulgaria,Eropa,lainnya - others,2001,507.792,1111.449,27,5
28,Polandia,Eropa,lainnya - others,2001,18.418,93.924,28,5
29,Slovenia,Eropa,lainnya - others,2001,48.484,114.26,29,5
30,Rusia,Eropa,lainnya - others,2001,52.606,177.964,30,5
31,Negara lainnya,Lainnya,lainnya - others,2001,16486.82,11695.128,31,5
32,Jepang,Asia,lainnya - others,2002,35084.155,102255.312,1,5
33,Hongkong,Asia,lainnya - others,2002,19388.195,27575.52,2,5
34,Korea Selatan,Asia,lainnya - others,2002,14193.65,13164.555,3,5
35,Taiwan,Asia,lainnya - others,2002,15617.595,16040.139,4,5
36,Cina,Asia,lainnya - others,2002,31176.137,14036.009,5,5
37,Thailand,Asia,lainnya - others,2002,53627.999,17035.117,6,5
38,Singapura,Asia,lainnya - others,2002,40472.508,41019.19,7,5
39,Filipina,Asia,lainnya - others,2002,2187.135,4554.261,8,5
40,Malaysia,Asia,lainnya - others,2002,38001.885,27985.267,9,5
41,Arab Saudi,Asia,lainnya - others,2002,2656,4946,10,5
42,Yordania,Asia,lainnya - others,2002,53,255,11,5
43,Mesir,Afrika,lainnya - others,2002,0,3,12,5
44,Australia,Australia,lainnya - others,2002,4104.844,5883.532,13,5
45,Amerika Serikat,Amerika,lainnya - others,2002,24418.588,151889.147,14,5
46,Kanada,Amerika,lainnya - others,2002,1186,2400,15,5
47,UK,Eropa,lainnya - others,2002,2660.999,7925.37,16,5
48,Belanda,Eropa,lainnya - others,2002,4585,9901,17,5
49,Perancis,Eropa,lainnya - others,2002,3701.316,9224.392,18,5
50,Jerman,Eropa,lainnya - others,2002,1364.964,5486,19,5
51,Belgia dan Luksemburg,Eropa,lainnya - others,2002,2680,7521.35,20,5
52,Swedia,Eropa,lainnya - others,2002,37,168,21,5
53,Denmark,Eropa,lainnya - others,2002,101.267,235.956,22,5
54,Irlandia,Eropa,lainnya - others,2002,3,25,23,5
55,Italia,Eropa,lainnya - others,2002,450,1057.3,24,5
56,Spanyol,Eropa,lainnya - others,2002,1216,1998.684,25,5
57,Yunani,Eropa,lainnya - others,2002,77.999,193.453,26,5
58,Bulgaria,Eropa,lainnya - others,2002,634,1215,27,5
59,Polandia,Eropa,lainnya - others,2002,47,131,28,5
60,Slovenia,Eropa,lainnya - others,2002,9,15,29,5
61,Rusia,Eropa,lainnya - others,2002,50,272,30,5
62,Negara lainnya,Lainnya,lainnya - others,2002,18585.763,16535.024,31,5
63,Jepang,Asia,lainnya - others,2003,30800.923,73164.927,1,5
64,Hongkong,Asia,lainnya - others,2003,13618.559,22213.483,2,5
65,Korea Selatan,Asia,lainnya - others,2003,19350.072,19934.075,3,5
66,Taiwan,Asia,lainnya - others,2003,23671.2,21110.568,4,5
67,Cina,Asia,lainnya - others,2003,146545.408,52860.196,5,5
68,Thailand,Asia,lainnya - others,2003,175178.675,27984.899,6,5
69,Singapura,Asia,lainnya - others,2003,40806.622,41111.168,7,5
70,Filipina,Asia,lainnya - others,2003,989.886,1991.141,8,5
71,Malaysia,Asia,lainnya - others,2003,33096.468,28282.821,9,5
72,Arab Saudi,Asia,lainnya - others,2003,4277.713,8225.635,10,5
73,Yordania,Asia,lainnya - others,2003,40.284,34.959,11,5
74,Mesir,Afrika,lainnya - others,2003,229.419,445.247,12,5
75,Australia,Australia,lainnya - others,2003,6244.216,6544.12,13,5
76,Amerika Serikat,Amerika,lainnya - others,2003,25623.424,159785.937,14,5
77,Kanada,Amerika,lainnya - others,2003,1166.004,2343.722,15,5
78,UK,Eropa,lainnya - others,2003,2479.9,7343.131,16,5
79,Belanda,Eropa,lainnya - others,2003,5185.437,13331.952,17,5
80,Perancis,Eropa,lainnya - others,2003,4220.327,11207.474,18,5
81,Jerman,Eropa,lainnya - others,2003,1196.385,5305.194,19,5
82,Belgia dan Luksemburg,Eropa,lainnya - others,2003,3482.258,10885.273,20,5
83,Swedia,Eropa,lainnya - others,2003,32.663,108.231,21,5
84,Denmark,Eropa,lainnya - others,2003,179.588,736.539,22,5
85,Irlandia,Eropa,lainnya - others,2003,1.04,2.925,23,5
86,Italia,Eropa,lainnya - others,2003,1305.157,2769.784,24,5
87,Spanyol,Eropa,lainnya - others,2003,2350.68,2664.809,25,5
88,Yunani,Eropa,lainnya - others,2003,199.01,493.671,26,5
89,Bulgaria,Eropa,lainnya - others,2003,210.385,712.439,27,5
90,Polandia,Eropa,lainnya - others,2003,57.573,72.945,28,5
91,Slovenia,Eropa,lainnya - others,2003,44.045,43.549,29,5
92,Rusia,Eropa,lainnya - others,2003,105.573,715.348,30,5
93,Negara lainnya,Lainnya,lainnya - others,2003,19345.486,20076.61,31,5
94,Jepang,Asia,lainnya - others,2004,31078.584,78539.806,1,5
95,Hongkong,Asia,lainnya - others,2004,10436.778,31476.833,2,5
96,Korea Selatan,Asia,lainnya - others,2004,33392.132,20924.51,3,5
97,Taiwan,Asia,lainnya - others,2004,31658.983,24979.345,4,5
98,Cina,Asia,lainnya - others,2004,178251.266,53261.188,5,5
99,Thailand,Asia,lainnya - others,2004,157270.763,16657.792,6,5
100,Singapura,Asia,lainnya - others,2004,44549.498,49057.229,7,5
101,Filipina,Asia,lainnya - others,2004,3292.216,3151.474,8,5
102,Malaysia,Asia,lainnya - others,2004,38370.321,33618.804,9,5
103,Arab Saudi,Asia,lainnya - others,2004,3564.637,6945.01,10,5
104,Yordania,Asia,lainnya - others,2004,27.323,335.954,11,5
105,Mesir,Afrika,lainnya - others,2004,7.133,8.51,12,5
106,Australia,Australia,lainnya - others,2004,3514.119,5747.704,13,5
107,Amerika Serikat,Amerika,lainnya - others,2004,34655.434,192320.676,14,5
108,Kanada,Amerika,lainnya - others,2004,1413.726,2759.046,15,5
109,UK,Eropa,lainnya - others,2004,3291.129,8255.321,16,5
110,Belanda,Eropa,lainnya - others,2004,5688.463,15253.469,17,5
111,Perancis,Eropa,lainnya - others,2004,3210.412,7600.165,18,5
112,Jerman,Eropa,lainnya - others,2004,3121.937,4343.866,19,5
113,Belgia dan Luksemburg,Eropa,lainnya - others,2004,5637.304,16410.304,20,5
114,Swedia,Eropa,lainnya - others,2004,51.44,168.586,21,5
115,Denmark,Eropa,lainnya - others,2004,305.434,860.133,22,5
116,Irlandia,Eropa,lainnya - others,2004,26.068,213.491,23,5
117,Italia,Eropa,lainnya - others,2004,3224.834,7831.103,24,5
118,Spanyol,Eropa,lainnya - others,2004,4149.65,14354.516,25,5
119,Yunani,Eropa,lainnya - others,2004,561.44,1374,26,5
120,Bulgaria,Eropa,lainnya - others,2004,103.942,536.047,27,5
121,Polandia,Eropa,lainnya - others,2004,410.991,912.632,28,5
122,Slovenia,Eropa,lainnya - others,2004,3.201,18.405,29,5
123,Rusia,Eropa,lainnya - others,2004,92.966,935.8,30,5
124,Negara lainnya,Lainnya,lainnya - others,2004,13757.447,19754.531,31,5
125,Jepang,Asia,lainnya - others,2005,33287.777,98868.864,1,5
126,Hongkong,Asia,lainnya - others,2005,14526.62,37451.832,2,5
127,Korea Selatan,Asia,lainnya - others,2005,22301.612,21944.71,3,5
128,Taiwan,Asia,lainnya - others,2005,48556.397,29843.859,4,5
129,Cina,Asia,lainnya - others,2005,161852.94,40791.557,5,5
130,Thailand,Asia,lainnya - others,2005,56604.891,8707.049,6,5
131,Singapura,Asia,lainnya - others,2005,54761.309,61440.724,7,5
132,Filipina,Asia,lainnya - others,2005,8147.682,4065.206,8,5
133,Malaysia,Asia,lainnya - others,2005,39307.922,30082.895,9,5
134,Arab Saudi,Asia,lainnya - others,2005,5344.504,10621.041,10,5
135,Yordania,Asia,lainnya - others,2005,112.115,186.313,11,5
136,Mesir,Afrika,lainnya - others,2005,35.187,62.006,12,5
137,Australia,Australia,lainnya - others,2005,5122.859,8324.527,13,5
138,Amerika Serikat,Amerika,lainnya - others,2005,35795.971,202016.349,14,5
139,Kanada,Amerika,lainnya - others,2005,1912.257,5270.251,15,5
140,UK,Eropa,lainnya - others,2005,3221.014,10159.265,16,5
141,Belanda,Eropa,lainnya - others,2005,5615.404,14116.341,17,5
142,Perancis,Eropa,lainnya - others,2005,3793.287,9185.144,18,5
143,Jerman,Eropa,lainnya - others,2005,1276.977,3769.208,19,5
144,Belgia dan Luksemburg,Eropa,lainnya - others,2005,5128.342,15632.406,20,5
145,Swedia,Eropa,lainnya - others,2005,42.413,205.046,21,5
146,Denmark,Eropa,lainnya - others,2005,535.735,1744.561,22,5
147,Irlandia,Eropa,lainnya - others,2005,0,0,23,5
