ID,NegaraID,Negara,KomoditiID,NamaKomoditi,Tahun,Volume,Nilai
1,1,Jepang,0,semua komoditi - all commodities,2000,4664.453,5463.006
2,2,Hongkong,0,semua komoditi - all commodities,2000,1680.19,1470.328
3,3,Korea Selatan,0,semua komoditi - all commodities,2000,11868.448,5952.45
4,4,Taiwan,0,semua komoditi - all commodities,2000,10893.098,6050.577
5,5,Cina,0,semua komoditi - all commodities,2000,8062.669,4220.566
6,6,Thailand,0,semua komoditi - all commodities,2000,2809.166,5336.725
7,7,Singapura,0,semua komoditi - all commodities,2000,3732.061,4498.534
8,9,Malaysia,0,semua komoditi - all commodities,2000,6423.048,4007.054
9,32,Myanmar,0,semua komoditi - all commodities,2000,50.271,191.836
10,33,Vietnam ,0,semua komoditi - all commodities,2000,2181.311,2997.814
11,34,India,0,semua komoditi - all commodities,2000,3003.994,2542.097
12,35,Pakistan,0,semua komoditi - all commodities,2000,0,0
13,13,Australia,0,semua komoditi - all commodities,2000,794.017,1475.762
14,14,Amerika Serikat,0,semua komoditi - all commodities,2000,3459.995,2273.698
15,36,Chile,0,semua komoditi - all commodities,2000,17154.327,10591.737
16,37,Peru,0,semua komoditi - all commodities,2000,88219.396,39609.344
17,31,Negara lainnya,0,semua komoditi - all commodities,2000,14466.256,14794.291
18,1,Jepang,0,semua komoditi - all commodities,2001,3213.041,5759.377
19,2,Hongkong,0,semua komoditi - all commodities,2001,1474.605,1500.895
20,3,Korea Selatan,0,semua komoditi - all commodities,2001,7181.834,3756.993
21,4,Taiwan,0,semua komoditi - all commodities,2001,7370.305,4070.135
22,5,Cina,0,semua komoditi - all commodities,2001,4479.403,2804.92
23,6,Thailand,0,semua komoditi - all commodities,2001,4560.423,4504.907
24,7,Singapura,0,semua komoditi - all commodities,2001,7625.353,4764.764
25,9,Malaysia,0,semua komoditi - all commodities,2001,6508.259,4857.317
26,32,Myanmar,0,semua komoditi - all commodities,2001,211.65,666.713
27,33,Vietnam ,0,semua komoditi - all commodities,2001,2838.24,1779.978
28,34,India,0,semua komoditi - all commodities,2001,7064.627,3751.312
29,35,Pakistan,0,semua komoditi - all commodities,2001,36,17.28
30,13,Australia,0,semua komoditi - all commodities,2001,1036.495,1848.408
31,14,Amerika Serikat,0,semua komoditi - all commodities,2001,2296.608,3555.684
32,36,Chile,0,semua komoditi - all commodities,2001,4129.23,2785.81
33,37,Peru,0,semua komoditi - all commodities,2001,86535.731,43796.639
34,31,Negara lainnya,0,semua komoditi - all commodities,2001,15909.861,13394.875
35,1,Jepang,0,semua komoditi - all commodities,2002,3971.051,4402.506
36,2,Hongkong,0,semua komoditi - all commodities,2002,1888.965,1508.545
37,3,Korea Selatan,0,semua komoditi - all commodities,2002,7780.332,4059.039
38,4,Taiwan,0,semua komoditi - all commodities,2002,4048.53,2743.241
39,5,Cina,0,semua komoditi - all commodities,2002,9797.973,6334.699
40,6,Thailand,0,semua komoditi - all commodities,2002,4266.608,4123.087
41,7,Singapura,0,semua komoditi - all commodities,2002,8712.972,6558.028
42,9,Malaysia,0,semua komoditi - all commodities,2002,7391.254,6189.581
43,32,Myanmar,0,semua komoditi - all commodities,2002,99.45,226.129
44,33,Vietnam ,0,semua komoditi - all commodities,2002,1938.048,2848.13
45,34,India,0,semua komoditi - all commodities,2002,1575.172,1623.259
46,35,Pakistan,0,semua komoditi - all commodities,2002,24.7,11.16
47,13,Australia,0,semua komoditi - all commodities,2002,1233.194,1402.267
48,14,Amerika Serikat,0,semua komoditi - all commodities,2002,6297.396,4429.271
49,36,Chile,0,semua komoditi - all commodities,2002,8020.469,5403.769
50,37,Peru,0,semua komoditi - all commodities,2002,42222.715,26234.54
51,31,Negara lainnya,0,semua komoditi - all commodities,2002,14741.176,14214.632
52,1,Jepang,0,semua komoditi - all commodities,2003,3425.657,5163.427
53,2,Hongkong,0,semua komoditi - all commodities,2003,1228.976,1318.135
54,3,Korea Selatan,0,semua komoditi - all commodities,2003,5608.591,3105.857
55,4,Taiwan,0,semua komoditi - all commodities,2003,7133.671,4090.055
56,5,Cina,0,semua komoditi - all commodities,2003,6681.345,4811.116
57,6,Thailand,0,semua komoditi - all commodities,2003,6481.244,5942.121
58,7,Singapura,0,semua komoditi - all commodities,2003,7408.927,4944.851
59,9,Malaysia,0,semua komoditi - all commodities,2003,12858.446,9780.389
60,32,Myanmar,0,semua komoditi - all commodities,2003,613.264,771.117
61,33,Vietnam ,0,semua komoditi - all commodities,2003,852.344,1317.03
62,34,India,0,semua komoditi - all commodities,2003,451.479,776.491
63,35,Pakistan,0,semua komoditi - all commodities,2003,740.922,272.712
64,13,Australia,0,semua komoditi - all commodities,2003,928.814,2036.576
65,14,Amerika Serikat,0,semua komoditi - all commodities,2003,3287.655,4121.116
66,36,Chile,0,semua komoditi - all commodities,2003,10132.363,6521.185
67,37,Peru,0,semua komoditi - all commodities,2003,29030.639,17646.346
68,31,Negara lainnya,0,semua komoditi - all commodities,2003,10904.056,18189.514
69,1,Jepang,0,semua komoditi - all commodities,2004,5120.257,6707.924
70,2,Hongkong,0,semua komoditi - all commodities,2004,2428.614,2523.588
71,3,Korea Selatan,0,semua komoditi - all commodities,2004,7514.172,4447.045
72,4,Taiwan,0,semua komoditi - all commodities,2004,4218.722,3252.014
73,5,Cina,0,semua komoditi - all commodities,2004,22426.286,37478.331
74,6,Thailand,0,semua komoditi - all commodities,2004,6245.326,9094.449
75,7,Singapura,0,semua komoditi - all commodities,2004,3628.307,5443.413
76,9,Malaysia,0,semua komoditi - all commodities,2004,19886.066,16127.254
77,32,Myanmar,0,semua komoditi - all commodities,2004,2005.668,4396.708
78,33,Vietnam ,0,semua komoditi - all commodities,2004,478.224,985.513
79,34,India,0,semua komoditi - all commodities,2004,1532.034,5828.1
80,35,Pakistan,0,semua komoditi - all commodities,2004,2260.682,846.222
81,13,Australia,0,semua komoditi - all commodities,2004,891.515,4058.638
82,14,Amerika Serikat,0,semua komoditi - all commodities,2004,3562.124,5791.023
83,36,Chile,0,semua komoditi - all commodities,2004,9245.717,7064.833
84,37,Peru,0,semua komoditi - all commodities,2004,33371.293,22894.754
85,31,Negara lainnya,0,semua komoditi - all commodities,2004,11225.142,17091.865
86,1,Jepang,0,semua komoditi - all commodities,2005,10132.369,8018.243
87,2,Hongkong,0,semua komoditi - all commodities,2005,1223.375,1173.819
88,3,Korea Selatan,0,semua komoditi - all commodities,2005,8594.638,5377.986
89,4,Taiwan,0,semua komoditi - all commodities,2005,5614.497,2977.552
90,5,Cina,0,semua komoditi - all commodities,2005,7095.931,6260.712
91,6,Thailand,0,semua komoditi - all commodities,2005,9403.349,7554.402
92,7,Singapura,0,semua komoditi - all commodities,2005,9474.423,8969.038
93,9,Malaysia,0,semua komoditi - all commodities,2005,15109.387,11387.135
94,32,Myanmar,0,semua komoditi - all commodities,2005,571.488,896.583
95,33,Vietnam ,0,semua komoditi - all commodities,2005,929.232,732.083
96,34,India,0,semua komoditi - all commodities,2005,1007.709,1069.074
97,35,Pakistan,0,semua komoditi - all commodities,2005,1240.15,404.393
98,13,Australia,0,semua komoditi - all commodities,2005,1373.936,1373.936
99,14,Amerika Serikat,0,semua komoditi - all commodities,2005,4112.537,6826.385
100,36,Chile,0,semua komoditi - all commodities,2005,26732.737,19273.883
101,37,Peru,0,semua komoditi - all commodities,2005,37151.878,25920.901
102,31,Negara lainnya,0,semua komoditi - all commodities,2005,11240.252,18743.81
103,1,Jepang,0,semua komoditi - all commodities,2006,10572.776,7754.584
104,2,Hongkong,0,semua komoditi - all commodities,2006,868.661,1030.295
105,3,Korea Selatan,0,semua komoditi - all commodities,2006,13611.938,8945.628
106,4,Taiwan,0,semua komoditi - all commodities,2006,3725.504,2277.975
107,5,Cina,0,semua komoditi - all commodities,2006,25993.621,14576.78
108,6,Thailand,0,semua komoditi - all commodities,2006,30125.158,22640.468
109,7,Singapura,0,semua komoditi - all commodities,2006,4571.843,6084.508
110,9,Malaysia,0,semua komoditi - all commodities,2006,12187.438,11735.194
111,32,Myanmar,0,semua komoditi - all commodities,2006,770.371,501.205
112,33,Vietnam ,0,semua komoditi - all commodities,2006,1074.799,1705.438
113,34,India,0,semua komoditi - all commodities,2006,474.184,402.512
114,35,Pakistan,0,semua komoditi - all commodities,2006,1159.315,473.248
115,13,Australia,0,semua komoditi - all commodities,2006,2050.435,5586.483
116,14,Amerika Serikat,0,semua komoditi - all commodities,2006,2900.026,5743.03
117,36,Chile,0,semua komoditi - all commodities,2006,22355.848,21104.022
118,37,Peru,0,semua komoditi - all commodities,2006,27285.172,26002.244
119,31,Negara lainnya,0,semua komoditi - all commodities,2006,24512.89,29156.732
120,1,Jepang,0,semua komoditi - all commodities,2007,7583.572,7690.16
121,2,Hongkong,0,semua komoditi - all commodities,2007,637.111,718.033
122,3,Korea Selatan,0,semua komoditi - all commodities,2007,13163.454,8905.06
123,4,Taiwan,0,semua komoditi - all commodities,2007,5236.831,3321.18
124,5,Cina,0,semua komoditi - all commodities,2007,14527.006,10702.322
125,6,Thailand,0,semua komoditi - all commodities,2007,13497.174,10604.288
126,7,Singapura,0,semua komoditi - all commodities,2007,3973.011,5757.899
127,9,Malaysia,0,semua komoditi - all commodities,2007,23618.122,18522.164
128,32,Myanmar,0,semua komoditi - all commodities,2007,1580.397,1506.973
129,33,Vietnam ,0,semua komoditi - all commodities,2007,3239.489,2660.452
130,34,India,0,semua komoditi - all commodities,2007,1897.53,1558.33
131,35,Pakistan,0,semua komoditi - all commodities,2007,9961.549,6100.101
132,13,Australia,0,semua komoditi - all commodities,2007,1130.954,6143.418
133,14,Amerika Serikat,0,semua komoditi - all commodities,2007,3359.432,9490.491
134,36,Chile,0,semua komoditi - all commodities,2007,7122.391,8322.426
135,37,Peru,0,semua komoditi - all commodities,2007,22489.75,23120.803
136,31,Negara lainnya,0,semua komoditi - all commodities,2007,12209.55,17625.488
137,1,Jepang,0,semua komoditi - all commodities,2008,20721.875,28484.037
138,2,Hongkong,0,semua komoditi - all commodities,2008,708.275,820.315
139,3,Korea Selatan,0,semua komoditi - all commodities,2008,16573.724,13046.466
140,4,Taiwan,0,semua komoditi - all commodities,2008,6878.959,5091.029
141,5,Cina,0,semua komoditi - all commodities,2008,35002.202,28829.491
142,6,Thailand,0,semua komoditi - all commodities,2008,17675.096,13568.536
143,7,Singapura,0,semua komoditi - all commodities,2008,5189.554,8114.871
144,9,Malaysia,0,semua komoditi - all commodities,2008,33106.812,27478.654
145,32,Myanmar,0,semua komoditi - all commodities,2008,2037.893,2245.243
146,33,Vietnam ,0,semua komoditi - all commodities,2008,4024.93,4388.609
147,34,India,0,semua komoditi - all commodities,2008,2939.862,3333.566
148,35,Pakistan,0,semua komoditi - all commodities,2008,9570.112,7131.85
149,13,Australia,0,semua komoditi - all commodities,2008,11862.832,12972.87
150,14,Amerika Serikat,0,semua komoditi - all commodities,2008,51532.111,39886.437
151,36,Chile,0,semua komoditi - all commodities,2008,7082.113,7473
152,37,Peru,0,semua komoditi - all commodities,2008,30744.029,32396.608
153,31,Negara lainnya,0,semua komoditi - all commodities,2008,24528.963,32397.587
154,1,Jepang,0,semua komoditi - all commodities,2009,13968.754,17930.1
155,2,Hongkong,0,semua komoditi - all commodities,2009,390.285,1016.599
156,3,Korea Selatan,0,semua komoditi - all commodities,2009,25066.086,18870.37
157,4,Taiwan,0,semua komoditi - all commodities,2009,9072.021,6835.184
158,5,Cina,0,semua komoditi - all commodities,2009,89118.43,66231.659
159,6,Thailand,0,semua komoditi - all commodities,2009,23544.866,19176.678
160,7,Singapura,0,semua komoditi - all commodities,2009,3675.79,6340.224
161,9,Malaysia,0,semua komoditi - all commodities,2009,19071.674,22221.117
162,32,Myanmar,0,semua komoditi - all commodities,2009,2266.282,1606.967
163,33,Vietnam ,0,semua komoditi - all commodities,2009,11102.895,11718.134
164,34,India,0,semua komoditi - all commodities,2009,2578.669,2690.81
165,35,Pakistan,0,semua komoditi - all commodities,2009,3427.351,2455.733
166,13,Australia,0,semua komoditi - all commodities,2009,13729.578,11185.141
167,14,Amerika Serikat,0,semua komoditi - all commodities,2009,47282.685,36119.911
168,36,Chile,0,semua komoditi - all commodities,2009,9621.847,9972.166
169,37,Peru,0,semua komoditi - all commodities,2009,26914.818,25898.065
170,31,Negara lainnya,0,semua komoditi - all commodities,2009,31060.791,39992.247
171,1,Jepang,0,semua komoditi - all commodities,2010,20553.654,21942.746
172,2,Hongkong,0,semua komoditi - all commodities,2010,247.637,1171.274
173,3,Korea Selatan,0,semua komoditi - all commodities,2010,21214.029,17248.749
174,4,Taiwan,0,semua komoditi - all commodities,2010,10167.318,9716.191
175,5,Cina,0,semua komoditi - all commodities,2010,116009.027,91420.234
176,6,Thailand,0,semua komoditi - all commodities,2010,41891.752,40730.519
177,7,Singapura,0,semua komoditi - all commodities,2010,4030.309,7321.575
178,9,Malaysia,0,semua komoditi - all commodities,2010,27402.711,34608.779
179,32,Myanmar,0,semua komoditi - all commodities,2010,1889.887,1978.057
180,33,Vietnam ,0,semua komoditi - all commodities,2010,17748.579,23195.671
181,34,India,0,semua komoditi - all commodities,2010,6620.439,8380.735
182,35,Pakistan,0,semua komoditi - all commodities,2010,5316.414,4569.362
183,13,Australia,0,semua komoditi - all commodities,2010,9372.125,11801.217
184,14,Amerika Serikat,0,semua komoditi - all commodities,2010,46675.337,38581.105
185,36,Chile,0,semua komoditi - all commodities,2010,4023.308,7024.676
186,37,Peru,0,semua komoditi - all commodities,2010,16694.666,25764.806
187,31,Negara lainnya,0,semua komoditi - all commodities,2010,19425.062,46359.013
188,1,Jepang,0,semua komoditi - all commodities,2011,19199.229,30449.732
189,2,Hongkong,0,semua komoditi - all commodities,2011,301.706,862.431
190,3,Korea Selatan,0,semua komoditi - all commodities,2011,26922.759,23263.658
191,4,Taiwan,0,semua komoditi - all commodities,2011,4788.716,4823.92
192,5,Cina,0,semua komoditi - all commodities,2011,155655.23,116675.912
193,6,Thailand,0,semua komoditi - all commodities,2011,24571.634,31191.414
194,7,Singapura,0,semua komoditi - all commodities,2011,3971.146,7590.792
195,9,Malaysia,0,semua komoditi - all commodities,2011,19186.619,28897.463
196,32,Myanmar,0,semua komoditi - all commodities,2011,1128.693,974.333
197,33,Vietnam ,0,semua komoditi - all commodities,2011,16553.428,20329.556
198,34,India,0,semua komoditi - all commodities,2011,13803.193,15863.586
199,35,Pakistan,0,semua komoditi - all commodities,2011,16509.866,13371.76
200,13,Australia,0,semua komoditi - all commodities,2011,9269.258,10451.345
201,14,Amerika Serikat,0,semua komoditi - all commodities,2011,58044.777,58839.04
202,36,Chile,0,semua komoditi - all commodities,2011,8607.672,13697.97
203,37,Peru,0,semua komoditi - all commodities,2011,21339.695,30962.197
204,31,Negara lainnya,0,semua komoditi - all commodities,2011,32017.379,80105.891
205,1,Jepang,0,semua komoditi - all commodities,2012,10255.016,18415.203
206,2,Hongkong,0,semua komoditi - all commodities,2012,72.009,147.065
207,3,Korea Selatan,0,semua komoditi - all commodities,2012,24499.256,21843.995
208,4,Taiwan,0,semua komoditi - all commodities,2012,3578.589,5760.795
209,5,Cina,0,semua komoditi - all commodities,2012,85676.249,68141.854
210,6,Thailand,0,semua komoditi - all commodities,2012,6234.436,9076.634
211,7,Singapura,0,semua komoditi - all commodities,2012,2823.576,5205.719
212,9,Malaysia,0,semua komoditi - all commodities,2012,15945.981,18108.449
213,32,Myanmar,0,semua komoditi - all commodities,2012,37.632,185.716
214,33,Vietnam ,0,semua komoditi - all commodities,2012,16034.596,17471.154
215,34,India,0,semua komoditi - all commodities,2012,21449.837,20567.376
216,35,Pakistan,0,semua komoditi - all commodities,2012,10206.331,6436.982
217,13,Australia,0,semua komoditi - all commodities,2012,18610.983,19574.157
218,14,Amerika Serikat,0,semua komoditi - all commodities,2012,45842.682,54856.83
219,36,Chile,0,semua komoditi - all commodities,2012,13695.51,20553.735
220,37,Peru,0,semua komoditi - all commodities,2012,23362.383,34913.277
221,31,Negara lainnya,0,semua komoditi - all commodities,2012,39034.954,91103.324
222,1,Jepang,6,tepung ikan yang tidak baik dimakan manusia,2000,552.847,245.806
223,2,Hongkong,6,tepung ikan yang tidak baik dimakan manusia,2000,58.77,31.978
224,3,Korea Selatan,6,tepung ikan yang tidak baik dimakan manusia,2000,565.368,335.676
225,4,Taiwan,6,tepung ikan yang tidak baik dimakan manusia,2000,228.796,134.238
226,5,Cina,6,tepung ikan yang tidak baik dimakan manusia,2000,25,10.15
227,6,Thailand,6,tepung ikan yang tidak baik dimakan manusia,2000,546.181,945.591
228,7,Singapura,6,tepung ikan yang tidak baik dimakan manusia,2000,0,0
229,9,Malaysia,6,tepung ikan yang tidak baik dimakan manusia,2000,3358.416,981.788
230,32,Myanmar,6,tepung ikan yang tidak baik dimakan manusia,2000,0,0
231,33,Vietnam ,6,tepung ikan yang tidak baik dimakan manusia,2000,38,55.76
232,34,India,6,tepung ikan yang tidak baik dimakan manusia,2000,2280.63,464.115
233,35,Pakistan,6,tepung ikan yang tidak baik dimakan manusia,2000,0,0
234,13,Australia,6,tepung ikan yang tidak baik dimakan manusia,2000,0,0
235,14,Amerika Serikat,6,tepung ikan yang tidak baik dimakan manusia,2000,1559.799,672.8
236,36,Chile,6,tepung ikan yang tidak baik dimakan manusia,2000,16237.626,8009.885
237,37,Peru,6,tepung ikan yang tidak baik dimakan manusia,2000,82571.11,37399.735
238,31,Negara lainnya,6,tepung ikan yang tidak baik dimakan manusia,2000,3045.845,1491.642
239,1,Jepang,6,tepung ikan yang tidak baik dimakan manusia,2001,2.403,19.9
240,2,Hongkong,6,tepung ikan yang tidak baik dimakan manusia,2001,0,0
241,3,Korea Selatan,6,tepung ikan yang tidak baik dimakan manusia,2001,324,155.7
242,4,Taiwan,6,tepung ikan yang tidak baik dimakan manusia,2001,185.49,107.766
243,5,Cina,6,tepung ikan yang tidak baik dimakan manusia,2001,167.86,88.931
244,6,Thailand,6,tepung ikan yang tidak baik dimakan manusia,2001,1363.136,773.924
245,7,Singapura,6,tepung ikan yang tidak baik dimakan manusia,2001,0,0
246,9,Malaysia,6,tepung ikan yang tidak baik dimakan manusia,2001,3968.936,1699.546
247,32,Myanmar,6,tepung ikan yang tidak baik dimakan manusia,2001,0,0
248,33,Vietnam ,6,tepung ikan yang tidak baik dimakan manusia,2001,475.53,720.026
249,34,India,6,tepung ikan yang tidak baik dimakan manusia,2001,525.805,117.78
250,35,Pakistan,6,tepung ikan yang tidak baik dimakan manusia,2001,0,0
251,13,Australia,6,tepung ikan yang tidak baik dimakan manusia,2001,60,23.88
252,14,Amerika Serikat,6,tepung ikan yang tidak baik dimakan manusia,2001,809.255,338.842
253,36,Chile,6,tepung ikan yang tidak baik dimakan manusia,2001,3559.015,2081.632
254,37,Peru,6,tepung ikan yang tidak baik dimakan manusia,2001,80312.86,41112.264
255,31,Negara lainnya,6,tepung ikan yang tidak baik dimakan manusia,2001,6384.765,3105.931
256,1,Jepang,6,tepung ikan yang tidak baik dimakan manusia,2002,4.068,35.345
257,2,Hongkong,6,tepung ikan yang tidak baik dimakan manusia,2002,0,0
258,3,Korea Selatan,6,tepung ikan yang tidak baik dimakan manusia,2002,250.5,132.936
259,4,Taiwan,6,tepung ikan yang tidak baik dimakan manusia,2002,156,173.56
260,5,Cina,6,tepung ikan yang tidak baik dimakan manusia,2002,278.8,155.037
261,6,Thailand,6,tepung ikan yang tidak baik dimakan manusia,2002,243.17,163.201
262,7,Singapura,6,tepung ikan yang tidak baik dimakan manusia,2002,1138,593.903
